strat_id,init_cash,buy_prop,sell_prop,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
135,1000000,1,1,8,13,18,5,7,2514963.486,73,0.561643836,41,31,85939.01524,8.593901524,-59745.43863,-5.974543863,414768.7324,41.47687324,-222001.1406,-22.20011406
83,1000000,1,1,5,13,18,5,21,2104826.337,72,0.652777778,47,25,85590.10054,8.559010054,-116716.3355,-11.67163355,455562.875,45.5562875,-552316.2402,-55.23162402
120,1000000,1,1,8,10,18,10,7,2103996.685,107,0.551401869,59,48,81746.31634,8.174631634,-77479.91624,-7.747991624,415845.75,41.584575,-613142.2354,-61.31422354
47,1000000,1,1,3,16,18,5,21,2095447.913,72,0.694444444,50,22,76857.78186,7.685778186,-124883.69,-12.488369,419972.0254,41.99720254,-501630.6094,-50.16306094
119,1000000,1,1,8,10,18,5,21,2092427.59,70,0.657142857,46,24,83960.55747,8.396055747,-115406.5856,-11.54065856,367631.75,36.763175,-528806.9385,-52.88069385
101,1000000,1,1,5,16,18,5,21,2062957.347,70,0.657142857,46,24,82152.24611,8.215224611,-113168.5823,-11.31685823,361605,36.1605,-521563.0078,-52.15630078
84,1000000,1,1,5,13,18,10,7,2003399.587,110,0.563636364,62,48,72654.8656,7.26548656,-72941.71,-7.294171,462681.0449,46.26810449,-648669.0674,-64.86690674
146,1000000,1,1,8,16,9,5,21,1996932.869,71,0.661971831,47,24,77680.37159,7.768037159,-110585.1915,-11.05851915,412853.8555,41.28538555,-505242.625,-50.5242625
1,1000000,1,1,3,10,9,5,14,1995368.856,103,0.631067961,65,38,52244.53962,5.224453962,-63171.7426,-6.31717426,240163.3945,24.01633945,-427477.1016,-42.74771016
22,1000000,1,1,3,13,9,10,14,1991272.196,80,0.725,58,22,63950.72518,6.395072518,-123539.5393,-12.35395393,261066.4492,26.10664492,-526633.2422,-52.66332422
51,1000000,1,1,3,16,18,20,7,1968542.716,71,0.676056338,48,23,75856.24302,7.585624302,-116198.1282,-11.61981282,419972.0254,41.99720254,-504429.9277,-50.44299277
102,1000000,1,1,5,16,18,10,7,1963460.603,106,0.575471698,61,45,68569.17357,6.856917357,-71539.08856,-7.153908856,361605,36.1605,-512486.5557,-51.24865557
136,1000000,1,1,8,13,18,5,14,1955275.113,93,0.580645161,54,39,70367.2964,7.03672964,-72937.4075,-7.29374075,407738.7539,40.77387539,-649105.7871,-64.91057871
0,1000000,1,1,3,10,9,5,7,1954398.925,156,0.570512821,89,67,44058.21008,4.405821008,-44280.32496,-4.428032496,229721.5078,22.97215078,-242690.7578,-24.26907578
147,1000000,1,1,8,16,9,10,7,1950920.28,111,0.576576577,64,47,69231.03203,6.923103203,-74039.69722,-7.403969722,455562.875,45.5562875,-667480.959,-66.7480959
49,1000000,1,1,3,16,18,10,14,1950085.575,84,0.69047619,58,26,73056.68119,7.305668119,-126430.8436,-12.64308436,398617.5156,39.86175156,-677006.8594,-67.70068594
138,1000000,1,1,8,13,18,10,7,1928735.463,103,0.533980583,55,48,66296.17022,6.629617022,-56615.70624,-5.661570624,463978.582,46.3978582,-553324.1602,-55.33241602
65,1000000,1,1,5,10,18,5,21,1917451.239,73,0.684931507,50,23,65421.71811,6.542171811,-102331.942,-10.2331942,268589.5313,26.85895313,-410152.207,-41.0152207
139,1000000,1,1,8,13,18,10,14,1910292.613,83,0.638554217,53,30,69151.56613,6.915156613,-91824.67972,-9.182467972,414768.7324,41.47687324,-502360.0928,-50.23600928
4,1000000,1,1,3,10,9,10,14,1909386.602,78,0.705128205,55,23,62083.77175,6.208377175,-108922.6454,-10.89226454,247124.6523,24.71246523,-504472.4121,-50.44724121
141,1000000,1,1,8,13,18,20,7,1899611.543,68,0.647058824,44,24,74683.89764,7.468389764,-99436.66471,-9.943666471,428828.6895,42.88286895,-517066.9648,-51.70669648
110,1000000,1,1,8,10,9,5,21,1891878.108,72,0.680555556,49,23,66022.63556,6.602263556,-101879.6102,-10.18796102,264859.1211,26.48591211,-353884.8779,-35.38848779
2,1000000,1,1,3,10,9,5,21,1885292.718,77,0.675324675,52,25,62399.52757,6.239952757,-94379.30863,-9.437930863,256526.5469,25.65265469,-320199.1318,-32.01991318
40,1000000,1,1,3,16,9,10,14,1880024.026,80,0.7125,57,23,61247.90366,6.124790366,-113526.3688,-11.35263688,292226,29.2226,-494816.8945,-49.48168945
140,1000000,1,1,8,13,18,10,21,1875239.132,62,0.629032258,39,23,79515.6884,7.95156884,-96777.0746,-9.67770746,414768.7324,41.47687324,-516921.2549,-51.69212549
87,1000000,1,1,5,13,18,20,7,1872680.091,70,0.628571429,44,26,83123.83046,8.312383046,-107106.4788,-10.71064788,455562.875,45.5562875,-552316.2402,-55.23162402
128,1000000,1,1,8,13,9,5,21,1863694.029,70,0.671428571,47,23,66576.54309,6.657654309,-98495.80418,-9.849580418,270777.6367,27.07776367,-389753.6563,-38.97536563
13,1000000,1,1,3,10,18,10,14,1861614.184,79,0.696202532,55,24,64059.41852,6.405941852,-110902.2431,-11.09022431,283511.1719,28.35111719,-517294.7422,-51.72947422
93,1000000,1,1,5,16,9,10,7,1859407.938,113,0.601769912,68,45,55081.64029,5.508164029,-64136.5245,-6.41365245,235015.8398,23.50158398,-376356.4941,-37.63564941
81,1000000,1,1,5,13,18,5,7,1855525.909,116,0.5,58,58,69488.73072,6.948873072,-54738.28401,-5.473828401,419972.0254,41.99720254,-277677.0703,-27.76770703
76,1000000,1,1,5,13,9,10,14,1854172.567,79,0.696202532,55,24,64094.85392,6.409485392,-111293.5166,-11.12935166,283511.1719,28.35111719,-517294.7422,-51.72947422
3,1000000,1,1,3,10,9,10,7,1850396.314,112,0.669642857,75,37,50438.40878,5.043840878,-79256.33361,-7.925633361,242194.1758,24.21941758,-417822.291,-41.7822291
94,1000000,1,1,5,16,9,10,14,1846467.32,82,0.707317073,58,24,59984.92799,5.998492799,-109694.1043,-10.96941043,272319.9414,27.23199414,-496875.2129,-49.68752129
9,1000000,1,1,3,10,18,5,7,1839195.067,146,0.51369863,75,71,52062.83507,5.206283507,-43176.3037,-4.31763037,279780.7617,27.97807617,-215588.2324,-21.55882324
137,1000000,1,1,8,13,18,5,21,1834613.644,68,0.647058824,44,24,73832.85392,7.383285392,-100584.6637,-10.05846637,428828.6895,42.88286895,-546043.5791,-54.60435791
117,1000000,1,1,8,10,18,5,7,1821843.968,97,0.525773196,51,46,74492.15366,7.449215366,-64722.95368,-6.472295368,343524.75,34.352475,-283421.7324,-28.34217324
123,1000000,1,1,8,10,18,20,7,1820655.718,69,0.637681159,44,25,78555.34741,7.855534741,-105431.1827,-10.54311827,367631.75,36.763175,-528806.9385,-52.88069385
99,1000000,1,1,5,16,18,5,7,1820071.465,101,0.534653465,54,47,65565.20405,6.556520405,-57881.9054,-5.78819054,313391,31.3391,-245204.8906,-24.52048906
50,1000000,1,1,3,16,18,10,21,1813636.847,64,0.703125,45,19,71766.52007,7.176652007,-127150.3451,-12.71503451,391499.3457,39.14993457,-471784.0977,-47.17840977
105,1000000,1,1,5,16,18,20,7,1798401.626,69,0.637681159,44,25,76752.74647,7.675274647,-103148.7688,-10.31487688,361605,36.1605,-521563.0078,-52.15630078
145,1000000,1,1,8,16,9,5,14,1792525.338,97,0.577319588,56,41,68946.94468,6.894694468,-74841.55035,-7.484155035,419972.0254,41.99720254,-674615.8301,-67.46158301
18,1000000,1,1,3,13,9,5,7,1783904.226,154,0.558441558,86,68,43729.48261,4.372948261,-43776.93058,-4.377693058,217031.1445,21.70311445,-246108.9375,-24.61089375
150,1000000,1,1,8,16,9,20,7,1769084.014,69,0.637681159,44,25,75020.19838,7.502019838,-101272.1886,-10.12721886,412853.8555,41.28538555,-505242.625,-50.5242625
