,strat_id,init_cash,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
0,48,1000000,12,19,9,5,7,0.993037861,0.000239575,0.062232546,6.223254605,107,7.382748095,215177.582,"AutoOrderedDict([('len', 1150), ('drawdown', 35.11674288976766), ('moneydown', 717772.40625)])",35.11674289,1150,0.39477822,1699422.5,2699422.5,72,0.569444444,41,30,92812.13424,9.281213424,-65392.78659,-6.539278659,371773.543,37.1773543,-242183.0625,-24.21830625
1,24,1000000,8,26,9,5,7,0.958673922,0.000231284,0.060015652,6.001565184,107,12.30933732,366123.9297,"AutoOrderedDict([('len', 559), ('drawdown', 37.07941442314161), ('moneydown', 663253.5361328125)])",37.07941442,559,0.368765055,1608235.46,2608235.455,84,0.571428571,48,36,80908.59369,8.090859369,-63204.91783,-6.320491783,407738.7539,40.77387539,-293587.0156,-29.35870156
2,6,1000000,8,13,18,5,7,0.922258285,0.000222499,0.057671447,5.767144714,107,8.150157605,223161.502,"AutoOrderedDict([('len', 1150), ('drawdown', 36.877685593341), ('moneydown', 670081.3486328125)])",36.87768559,1150,0.365962834,1514963.49,2514963.486,73,0.561643836,41,31,85939.01524,8.593901524,-59745.43863,-5.974543863,414768.7324,41.47687324,-222001.1406,-22.20011406
3,15,1000000,8,19,9,10,7,0.825539213,0.000199165,0.051470434,5.147043365,177,15.56096023,420746.2285,"AutoOrderedDict([('len', 1415), ('drawdown', 55.277177011971105), ('moneydown', 1135561.70703125)])",55.27717701,1415,0.311427749,1283111.52,2283111.517,108,0.574074074,62,46,81280.60588,8.128060588,-81658.39234,-8.165839234,415845.75,41.584575,-594111.374,-59.4111374
4,14,1000000,8,19,9,5,21,0.761477026,0.00018371,0.047383201,4.738320085,425,18.17487349,475652.7168,"AutoOrderedDict([('len', 1324), ('drawdown', 56.26277212869298), ('moneydown', 1018290.875)])",56.26277213,1324,0.284189901,1141436.84,2141436.844,70,0.657142857,46,24,85491.69296,8.549169296,-116299.2097,-11.62992097,367631.75,36.763175,-514319.0771,-51.43190771
5,27,1000000,8,26,9,10,7,0.761002268,0.000183595,0.04735297,4.735297016,177,16.329458,417732.5078,"AutoOrderedDict([('len', 1798), ('drawdown', 56.063824671018246), ('moneydown', 1117117.884765625)])",56.06382467,1798,0.278718278,1140420.42,2140420.42,106,0.547169811,58,48,79058.39539,7.905839539,-71770.13568,-7.177013568,456948.6035,45.69486035,-568031.0322,-56.80310322
6,54,1000000,12,19,18,5,7,0.760203002,0.000183402,0.047302078,4.730207817,39,5.566347992,126065.293,"AutoOrderedDict([('len', 914), ('drawdown', 31.225701111835498), ('moneydown', 568195.26171875)])",31.22570111,914,0.32711161,1138710.34,2138710.34,28,0.607142857,17,10,115450.8965,11.54508965,-77761.4627,-7.77614627,385495.2627,38.54952627,-155225.5313,-15.52255313
7,30,1000000,8,26,18,5,7,0.736317286,0.00017764,0.045782332,4.57823324,1608,11.35579735,267513.5781,"AutoOrderedDict([('len', 1608), ('drawdown', 32.07683765420355), ('moneydown', 669151.0)])",32.07683765,1608,0.317710423,1088230.98,2088230.979,33,0.636363636,21,11,109056.0342,10.90560342,-105154.1658,-10.51541658,346133.9883,34.61339883,-356861.5254,-35.68615254
8,39,1000000,12,13,9,10,7,0.719817034,0.000173659,0.04473378,4.473378018,177,16.33994758,401185.375,"AutoOrderedDict([('len', 1467), ('drawdown', 55.12571676130151), ('moneydown', 1170927.396484375)])",55.12571676,1467,0.2711059,1054057.35,2054057.354,106,0.547169811,58,48,82898.83723,8.289883723,-78209.90011,-7.820990011,491153.7246,49.11537246,-615843.166,-61.5843166
9,38,1000000,12,13,9,5,21,0.708827283,0.000171008,0.044035991,4.403599066,425,17.75342884,438534.959,"AutoOrderedDict([('len', 1377), ('drawdown', 56.23855297641931), ('moneydown', 1053711.025390625)])",56.23855298,1377,0.262594039,1031607.36,2031607.36,69,0.666666667,46,23,85538.55556,8.553855556,-126224.6172,-12.62246172,434208.3652,43.42083652,-536050.8691,-53.60508691
