Column1,strat_id,init_cash,rsi.rsi_period,rsi.rsi_upper,rsi.rsi_lower,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
0,34,1000000,14,80,25,0.974699725,0.000235151,0.061048936,6.104893573,58,6.679506542,189702.9414,"AutoOrderedDict([('len', 1099), ('drawdown', 57.50007417316249), ('moneydown', 777560.841796875)])",57.50007417,1099,0.368203968,1650371.25,2650371.25,7,0.857142857,6,0,278876.4603,27.88764603,0,0,604582.752,60.4582752,0,0
1,35,1000000,20,80,25,0.969351071,0.00023386,0.060703963,6.070396259,195,0.11573435,3054.5625,"AutoOrderedDict([('len', 247), ('drawdown', 25.305389776506722), ('moneydown', 647705.4375)])",25.30538978,247,0.501109915,1636233.18,2636233.176,3,1,3,0,545411.0586,54.54110586,0,0,784377.1133,78.43771133,0,0
2,22,1000000,14,80,20,0.909078228,0.000219319,0.056824278,5.682427807,0,0,0,"AutoOrderedDict([('len', 388), ('drawdown', 25.104880588410545), ('moneydown', 610903.9921875)])",25.10488059,388,0.496119436,1482033.61,2482033.609,4,1,4,0,370508.4023,37.05084023,0,0,675849.0215,67.58490215,0,0
3,26,1000000,14,40,25,0.793107014,0.000191341,0.049399237,4.939923682,67,0.455868929,10122,"AutoOrderedDict([('len', 1489), ('drawdown', 13.878101943385586), ('moneydown', 306388.177734375)])",13.87810194,1489,0.295987594,1210253.06,2210253.057,19,0.842105263,16,3,88856.15271,8.885615271,-70481.79557,-7.048179557,360245.2695,36.02452695,-114717.1875,-11.47171875
4,1,1000000,6,40,15,0.731842589,0.00017656,0.045497872,4.549787192,67,1.345035885,28343.28125,"AutoOrderedDict([('len', 850), ('drawdown', 13.573952033507378), ('moneydown', 206746.40625)])",13.57395203,850,0.324424046,1078907.65,2078907.652,33,0.757575758,25,8,59487.26266,5.948726266,-51034.23926,-5.103423926,339575.459,33.9575459,-131055.9766,-13.10559766
5,24,1000000,5,40,25,0.656081555,0.000158283,0.040693404,4.069340446,616,8.332526081,175183.8301,"AutoOrderedDict([('len', 616), ('drawdown', 18.982715792861214), ('moneydown', 399094.443359375)])",18.98271579,616,0.493209853,927225.79,1927225.792,136,0.647058824,88,48,35195.00647,3.519500647,-45206.97453,-4.520697453,137729.584,13.7729584,-178828.0664,-17.88280664
6,0,1000000,5,40,15,0.526602317,0.000127045,0.032533394,3.253339398,49,0.130242106,2208.095703,"AutoOrderedDict([('len', 2777), ('drawdown', 21.471487138537846), ('moneydown', 356947.501953125)])",21.47148714,2777,0.228641099,693169.67,1693169.671,47,0.70212766,33,14,41538.32005,4.153832005,-48399.63504,-4.839963504,327764.1387,32.77641387,-114846.8945,-11.48468945
7,13,1000000,6,40,20,0.485150687,0.000117045,0.029934583,2.993458346,2335,5.562551365,95681.51758,"AutoOrderedDict([('len', 2335), ('drawdown', 22.563680483938526), ('moneydown', 388118.158203125)])",22.56368048,2335,0.228852033,624419.77,1624419.769,53,0.641509434,34,19,44194.08947,4.419408947,-46219.96176,-4.621996176,310047.1582,31.00471582,-163240.752,-16.3240752
8,18,1000000,14,60,20,0.465978519,0.000112419,0.028734797,2.873479749,0,0,0,"AutoOrderedDict([('len', 1588), ('drawdown', 20.945358578805433), ('moneydown', 234093.26953125)])",20.94535858,1588,0.424089271,593572.77,1593572.768,6,1,6,0,98928.7946,9.89287946,0,0,196328.875,19.6328875,0,0
9,28,1000000,5,60,25,0.46229215,0.00011153,0.028504266,2.850426633,85,4.440358243,73775.88477,"AutoOrderedDict([('len', 1842), ('drawdown', 52.708621836819454), ('moneydown', 677485.970703125)])",52.70862184,1842,0.216765984,587709.08,1587709.084,107,0.738317757,79,27,30203.54637,3.020354637,-66071.62923,-6.607162923,100816.9688,10.08169688,-337878.1592,-33.78781592
