,strat_id,init_cash,buy_prop,sell_prop,rsi.fractional,rsi.commission,rsi.stop_loss,rsi.stop_trail,rsi.take_profit,execution_type,rsi.channel,rsi.symbol,rsi.allow_short,rsi.short_max,rsi.add_cash_amount,rsi.add_cash_freq,rsi.invest_div,rsi.rsi_period,rsi.rsi_upper,rsi.rsi_lower,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
0,25,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,80,25,0.974699724525458,0.00023515071761772205,0.0610489357299757,6.10489357299757,58,6.679506541775215,189702.94140625,"AutoOrderedDict([('len', 1099), ('drawdown', 57.50007417316249), ('moneydown', 777560.841796875)])",57.50007417316249,1099,0.36820396805756345,1650371.25,2650371.25,7,0.8571428571428571,6.0,0.0,278876.4602864583,27.88764602864583,0.0,0.0,604582.751953125,60.4582751953125,0.0,0.0
1,26,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,80,25,0.9693510709151867,0.00023386033073949014,0.060703962588561554,6.070396258856156,195,0.11573434967682547,3054.5625,"AutoOrderedDict([('len', 247), ('drawdown', 25.305389776506722), ('moneydown', 647705.4375)])",25.305389776506722,247,0.5011099148398238,1636233.18,2636233.17578125,3,1.0,3.0,0.0,545411.05859375,54.54110585937501,0.0,0.0,784377.11328125,78.437711328125,0.0,0.0
2,16,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,80,20,0.9090782279377119,0.0002193192347256241,0.0568242780658799,5.68242780658799,0,0.0,0.0,"AutoOrderedDict([('len', 388), ('drawdown', 25.104880588410545), ('moneydown', 610903.9921875)])",25.104880588410545,388,0.496119435723436,1482033.61,2482033.609375,4,1.0,4.0,0.0,370508.40234375,37.050840234375,0.0,0.0,675849.021484375,67.5849021484375,0.0,0.0
3,19,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,40,25,0.7931070142416848,0.0001913406548230844,0.04939923681882063,4.939923681882063,67,0.4558689294282718,10122.0,"AutoOrderedDict([('len', 1489), ('drawdown', 13.878101943385586), ('moneydown', 306388.177734375)])",13.878101943385586,1489,0.2959875939637561,1210253.06,2210253.056640625,19,0.8421052631578947,16.0,3.0,88856.15270996094,8.885615270996093,-70481.79557291667,-7.048179557291667,360245.26953125,36.024526953125005,-114717.1875,-11.471718749999999
4,0,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,40,15,0.7318425886222356,0.0001765603350113958,0.04549787192488892,4.549787192488892,67,1.3450358852926345,28343.28125,"AutoOrderedDict([('len', 850), ('drawdown', 13.573952033507378), ('moneydown', 206746.40625)])",13.573952033507378,850,0.32442404645668643,1078907.65,2078907.65234375,33,0.7575757575757576,25.0,8.0,59487.26265625,5.948726265625,-51034.2392578125,-5.10342392578125,339575.458984375,33.9575458984375,-131055.9765625,-13.105597656250001
5,9,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,40,20,0.4851506865138269,0.00011704479771141784,0.02993458346261428,2.993458346261428,2335,5.562551365404725,95681.517578125,"AutoOrderedDict([('len', 2335), ('drawdown', 22.563680483938526), ('moneydown', 388118.158203125)])",22.563680483938526,2335,0.22885203269832238,624419.77,1624419.7685546875,53,0.6415094339622641,34.0,19.0,44194.089470358456,4.419408947035846,-46219.96175986842,-4.621996175986842,310047.158203125,31.0047158203125,-163240.751953125,-16.324075195312503
6,13,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,60,20,0.4659785190840402,0.00011241942559325458,0.0287347974920977,2.87347974920977,0,0.0,0.0,"AutoOrderedDict([('len', 1588), ('drawdown', 20.945358578805433), ('moneydown', 234093.26953125)])",20.945358578805433,1588,0.4240892710618989,593572.77,1593572.767578125,6,1.0,6.0,0.0,98928.79459635417,9.892879459635417,0.0,0.0,196328.875,19.632887500000002,0.0,0.0
7,23,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,20,60,25,0.37833275285178347,9.127448802214317e-05,0.02326773777418835,2.326773777418835,331,1.3752152625128422,20356.0,"AutoOrderedDict([('len', 991), ('drawdown', 20.779225644932044), ('moneydown', 256115.046875)])",20.779225644932044,991,0.2605211552441445,459848.63,1459848.630859375,5,1.0,5.0,0.0,91969.72617187501,9.1969726171875,0.0,0.0,206295.03125,20.629503125,0.0,0.0
8,6,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,6,80,15,0.3777228403914705,9.112734388214006e-05,0.02322979537913137,2.322979537913137,76,11.079257749365885,181781.85546875,"AutoOrderedDict([('len', 1591), ('drawdown', 51.893511675145234), ('moneydown', 666529.1015625)])",51.893511675145234,1591,0.16730389293479092,458958.52,1458958.5224609375,19,0.7368421052631579,14.0,4.0,77084.57903180804,7.708457903180804,-121958.39013671881,-12.19583901367188,179424.609375,17.942460937499998,-205536.02929687506,-20.553602929687507
9,22,1000000,1,1,False,0,0,0,0,close,,,False,1.5,0,M,True,14,60,25,0.26096752475701107,6.295959584005093e-05,0.015992348528140802,1.5992348528140803,58,2.3681671004454152,31488.912109375,"AutoOrderedDict([('len', 3199), ('drawdown', 52.075937921961284), ('moneydown', 658826.28125)])",52.075937921961284,3199,0.12283463677847763,298185.51,1298185.505859375,14,0.7857142857142857,11.0,3.0,56744.01526988636,5.674401526988635,-108666.220703125,-10.8666220703125,120040.75390625,12.004075390625001,-303777.291015625,-30.3777291015625
